efwew;;;;;;;
XXS;XS;S;M;L;XL;XXL;XXXL
XXS;XS;S;M;L;XL;XXL;XXXL
40;44;46;48;50;52;54;56
158-164;164-170;170-176;176-182;182-185;182-188;182-188;182-188
46;49;51;53;55;57;59;61
66;68;70;72;74;76;78;80
