casasa;;;;;;;;;;
XXXS;XXS;XXS/XS;XS;S;M;L;XL;XXL;XXXL;
;;;40-42;44-46;46-48;50-52;54-56;58;60;
116-122;128;140;152;164;168-174;180-186;192-198;204;210;
