"id в магазине",Категория,Подкатегория,"Название товара","Короткое описание товара","Полное описание товара","Скрыт ли товар на сайте?",Артикул,Цена,Цена2,"Закупочная цена",Остаток,Ед.из.,Изображения,"Короткое SEO описание товара","Полное SEO описание товара","Заголовок страницы товара","Мета-тег keywords","Мета-тег description","URL переменная пути",Бренд,Размеры,"Русские Размеры",Цвет
2123,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-302 SR",,"Удобные, игровые трусы для тренировок или спортивных занятий, мужская, взрослая модель NIKE LASER II WOVEN SHORT NB 588415-302 SR выполнена в темно зеленой цветовой гамме и декорирована белым логотипом производителя, который нанесен на левой штанине. На талии удерживаются при помощи широкой, надежной резинки. Модель имеет прямой фасон, удобно сидит на фигуре футболиста, обеспечивает комфортные условия во время игры в футбол. При производстве используется современный, синтетический материал, состоящий из прочных, полиэфирных волокон, что придает ткани износостойкость и прочность. Полиэстер обладает эластичными качествами, хорошо держит  форму и имеет небольшой вес. Ткань приятная для кожи, не раздражает ее во время интенсивных тренировок. Хорошие вентиляционные качества материала обеспечивают кожу свежим воздухом, создавая комфортные, прохладные условия. В структуру материала изделия вплетены специальные волокна Dri-FIT, которые абсорбируют пот, выделяемый телом, и отводят его на внешний слой, где обеспечивается его испарение, что создает комфортные и сухие условия для спортсмена во время игры. Изделие сохраняет в процессе носки свой насыщенный цвет, не выгорает на солнце и не линяет во время стирки, быстро высыхает и легко стирается. Трусы отлично подойдут для спортивных занятий, тренировок или игры в футбол, они будут удобны и для активного отдыха.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 170 x 300 x 20 мм.Вес: ~ 0.1 кг.",0,588415-302,750,1490,,1,шт.,https://www.sportdepo.ru/gallery/dp0012153b.jpeg,,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-302 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-302 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-nb-588415-302-sr,Nike,XL,,
2124,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-307 SR",,"Мужские, игровые трусы яркого зеленого цвета NIKE LASER II WOVEN SHORT NB 588415-307 SR имеют прямой покрой, отлично сидят на фигуре спортсмена и не сковывают движений во время тренировки. Левая штанина декорирована небольшим логотипом Nike, вышитым белыми нитками. Сверху пришита широкая, эластичная резинка с дополнительным регулировочным шнурком, хорошо удерживающая их на спортсмене во время игры в футбол. Благодаря применению инновационной технологии Nike Dri-FIT, которая при помощи микроволокон отводит от тела спортсмена пот, создаются комфортные ощущения во время тренировок. Модель пошита из прочного полиэстера. Материал обладает отличными эксплуатационными качествами, высокой прочностью, не рвется и не деформируется при значительных, механических нагрузках, не мнется, и всегда имеют аккуратный, внешний вид. Трусы отлично стираются в стиральной машинке, быстро сохнут. Модель идеально подойдет для тренировок на свежем воздухе.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 100 x 100 x 20 мм.Вес: ~ 0.1 кг.",0,588415-307,750,1490,,1,шт.,"https://www.sportdepo.ru/gallery/dp0009330b.jpeg https://www.sportdepo.ru/gallery/dp00093301.jpeg",,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-307 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-307 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-nb-588415-307-sr,Nike,S,,
2125,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-550 SR",,"Мужские, игровые трусы яркого сиреневого цвета NIKE LASER II WOVEN SHORT NB 588415-550 SR имеют спортивный дизайн и яркую расцветку. На левой штанине расположен вышитый логотип Nike белого цвета. Покрой прямой создает комфортную и свободную, не сковывающую движений, посадку. На теле удерживаются при помощи широкой, эластичной резинки, пришитой в верхней части трусов. Применение передовой, фирменной технологии Nike Dri-FIT обеспечивает максимальный комфорт во время тренировок, исключая прилипание одежды к телу. Модель пошита из полиэстера. Прочный материал, обладающий хорошими эксплуатационными качествами, не рвется и не деформируется при значительных механических нагрузках. Трусы не мнутся, вы всегда будете иметь на тренировках опрятный внешний вид. Модель идеально подойдет для тренировок на свежем воздухе.",0,588415-550,750,1490,,1,шт.,"https://www.sportdepo.ru/gallery/dp0009332b.jpeg https://www.sportdepo.ru/gallery/dp00093321.jpeg",,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-550 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-550 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-nb-588415-550-sr,Nike,L,,
2126,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-657 SR",,"Удобные игровые трусы, мужская, взрослая модель, NIKE LASER II WOVEN SHORT NB 588415-657 SR имеют яркую красную расцветку, придают футболисту стильный образ на поле. Модель имеет классический прямой покрой, на левой штанине расположен белый логотип Nike. Трусы на теле удерживаются при помощи надежной и эластичной резинки, которая вшита в верхней части. При пошиве модели используется современный синтетический материал, полиэстер, который имеет прочную структуру, способен выдержать значительные нагрузки без разрывов и деформаций. Части сшиты между собой при помощи прочных, качественных швов. Ткань обладает хорошими вентиляционными качествами, пропускает достаточное количество кислорода. Использование технологии Dri FIT обеспечивает сухие и комфортные условия для тела спортсмена во время игры. Данная технология отводит на наружный слой испарения, которые выделяет тело во время занятий. Благодаря применению качественных материалов, изделие имеет аккуратный внешний вид, хорошо стирается в стиральной машинке, не линяет и не растягивается. Трусы подойдут как начинающим спортсменам, так и игрокам, серьезно занимающихся футболом.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 240 x 220 x 15 мм.Вес: ~ 0.11 кг.",0,588415-657,750,1490,,1,шт.,"https://www.sportdepo.ru/gallery/dp0008489b.jpeg https://www.sportdepo.ru/gallery/dp00084891.jpeg",,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-657 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-657 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-nb-588415-657-sr,Nike,S,,
2127,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR",,"Мужские, игровые трусы желтого цвета NIKE LASER II WOVEN SHORT NB 588415-716 SR имеют современный, спортивный дизайн и выполнены в ярких тонах. В верхней части расположена широкая, эластичная резинка с прочным, регулировочным шнурком, который надежно удерживает их на теле спортсмена. На левой штанине ниже кармана расположен вышитый логотип Nike черного цвета. Прямой покрой, создает комфортную и свободную, не сковывающую движений, посадку. Шорты пошиты из качественной современной ткани – полиэстера, который выдерживает значительные механические нагрузки без разрывов и деформаций, обладает хорошими вентиляционными свойствами, обеспечивая постоянный приток свежего воздуха. Применение передовой, фирменной технологии Nike Dri-FIT создает максимальный комфорт во время тренировок, исключая прилипание одежды к телу. Трусы не мнутся, вы всегда будете иметь на тренировках опрятный внешний вид. Модель идеально подойдет для тренировок на свежем воздухе.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 163 x 186 x 35 мм.Вес: ~ 0.105 кг.",0,588415-716,750,1490,,1,шт.,https://www.sportdepo.ru/gallery/dp0010634b.jpeg,,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-nb-588415-716-sr,Nike,L,,
2127,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR",,"Мужские, игровые трусы желтого цвета NIKE LASER II WOVEN SHORT NB 588415-716 SR имеют современный, спортивный дизайн и выполнены в ярких тонах. В верхней части расположена широкая, эластичная резинка с прочным, регулировочным шнурком, который надежно удерживает их на теле спортсмена. На левой штанине ниже кармана расположен вышитый логотип Nike черного цвета. Прямой покрой, создает комфортную и свободную, не сковывающую движений, посадку. Шорты пошиты из качественной современной ткани – полиэстера, который выдерживает значительные механические нагрузки без разрывов и деформаций, обладает хорошими вентиляционными свойствами, обеспечивая постоянный приток свежего воздуха. Применение передовой, фирменной технологии Nike Dri-FIT создает максимальный комфорт во время тренировок, исключая прилипание одежды к телу. Трусы не мнутся, вы всегда будете иметь на тренировках опрятный внешний вид. Модель идеально подойдет для тренировок на свежем воздухе.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 163 x 186 x 35 мм.Вес: ~ 0.105 кг.",0,588415-716,750,1490,,1,шт.,https://www.sportdepo.ru/gallery/dp0010634b.jpeg,,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-nb-588415-716-sr,Nike,M,,
2127,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR",,"Мужские, игровые трусы желтого цвета NIKE LASER II WOVEN SHORT NB 588415-716 SR имеют современный, спортивный дизайн и выполнены в ярких тонах. В верхней части расположена широкая, эластичная резинка с прочным, регулировочным шнурком, который надежно удерживает их на теле спортсмена. На левой штанине ниже кармана расположен вышитый логотип Nike черного цвета. Прямой покрой, создает комфортную и свободную, не сковывающую движений, посадку. Шорты пошиты из качественной современной ткани – полиэстера, который выдерживает значительные механические нагрузки без разрывов и деформаций, обладает хорошими вентиляционными свойствами, обеспечивая постоянный приток свежего воздуха. Применение передовой, фирменной технологии Nike Dri-FIT создает максимальный комфорт во время тренировок, исключая прилипание одежды к телу. Трусы не мнутся, вы всегда будете иметь на тренировках опрятный внешний вид. Модель идеально подойдет для тренировок на свежем воздухе.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 163 x 186 x 35 мм.Вес: ~ 0.105 кг.",0,588415-716,750,1490,,1,шт.,https://www.sportdepo.ru/gallery/dp0010634b.jpeg,,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-nb-588415-716-sr,Nike,S,,
2127,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR",,"Мужские, игровые трусы желтого цвета NIKE LASER II WOVEN SHORT NB 588415-716 SR имеют современный, спортивный дизайн и выполнены в ярких тонах. В верхней части расположена широкая, эластичная резинка с прочным, регулировочным шнурком, который надежно удерживает их на теле спортсмена. На левой штанине ниже кармана расположен вышитый логотип Nike черного цвета. Прямой покрой, создает комфортную и свободную, не сковывающую движений, посадку. Шорты пошиты из качественной современной ткани – полиэстера, который выдерживает значительные механические нагрузки без разрывов и деформаций, обладает хорошими вентиляционными свойствами, обеспечивая постоянный приток свежего воздуха. Применение передовой, фирменной технологии Nike Dri-FIT создает максимальный комфорт во время тренировок, исключая прилипание одежды к телу. Трусы не мнутся, вы всегда будете иметь на тренировках опрятный внешний вид. Модель идеально подойдет для тренировок на свежем воздухе.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 163 x 186 x 35 мм.Вес: ~ 0.105 кг.",0,588415-716,750,1490,,1,шт.,https://www.sportdepo.ru/gallery/dp0010634b.jpeg,,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-716 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-nb-588415-716-sr,Nike,XL,,
2128,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-815 SR",,"Спортивные, игровые трусы, взрослая, мужская модель NIKE LASER II WOVEN SHORT NB 588415-815 SR выполнена в яркой, оранжевой расцветке, имеют свободную и удобную посадку. На бедрах шорты удерживаются благодаря эластичной и широкой резинке, которая вшивается в пояс шорт. Использование прочного, регулировочного шнурка позволяет быстро подобрать оптимальную плотность посадки шорт на теле. Левая штанина декорирована стильным, черным логотипом Nike. Модель пошита из качественного материала, в состав которого входит полиэстер, что придает шортам отличную воздухопроницаемость, прочность и износостойкость. Спортсмен во время занятий находится в сухих и комфортных условиях, благодаря наличию хорошей вентиляции и применению современной технологии Dri-FIT. В ткань изделия вплетены тонкие волокна, которые быстро впитывают влагу, выделяемую телом во время активных занятий, и отводят ее на поверхностный слой, где обеспечивается испарение. Такие трусы можно использовать в качестве формы для игры в футбол.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 193 x 235 x 20 мм.Вес: ~ 0.101 кг.",0,588415-815,750,1490,,1,шт.,https://www.sportdepo.ru/gallery/dp0012154b.jpeg,,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-815 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-815 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-nb-588415-815-sr,Nike,M,,
2128,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-815 SR",,"Спортивные, игровые трусы, взрослая, мужская модель NIKE LASER II WOVEN SHORT NB 588415-815 SR выполнена в яркой, оранжевой расцветке, имеют свободную и удобную посадку. На бедрах шорты удерживаются благодаря эластичной и широкой резинке, которая вшивается в пояс шорт. Использование прочного, регулировочного шнурка позволяет быстро подобрать оптимальную плотность посадки шорт на теле. Левая штанина декорирована стильным, черным логотипом Nike. Модель пошита из качественного материала, в состав которого входит полиэстер, что придает шортам отличную воздухопроницаемость, прочность и износостойкость. Спортсмен во время занятий находится в сухих и комфортных условиях, благодаря наличию хорошей вентиляции и применению современной технологии Dri-FIT. В ткань изделия вплетены тонкие волокна, которые быстро впитывают влагу, выделяемую телом во время активных занятий, и отводят ее на поверхностный слой, где обеспечивается испарение. Такие трусы можно использовать в качестве формы для игры в футбол.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 193 x 235 x 20 мм.Вес: ~ 0.101 кг.",0,588415-815,750,1490,,1,шт.,https://www.sportdepo.ru/gallery/dp0012154b.jpeg,,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-815 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT NB 588415-815 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-nb-588415-815-sr,Nike,S,,
2129,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT WB 588415-100 SR",,"Мужские, игровые трусы белого цвета NIKE LASER II WOVEN SHORT NB 588415-100 SR имеют удобную, не сковывающую движений посадку. Модель прямого покроя с пришитой к верху эластичной резинкой и дополнительной фиксацией прочным шнурком, что позволяет надежно фиксировать их на спортсмене во время игры в футбол. На левой штанине вышит черными нитками логотип Nike.  Модель пошита из прочного, современного материала, состоящего из полиэстера. Материал отличается высокой прочностью и не деформируется при значительных, механических нагрузках, не мнется. Благодаря применению передовой технологии Nike Dri-FIT, которая придает материалу свойства регуляции влаги, обеспечивается комфортное состояние спортсмена во время тренировок и матчей. Дополнительную вентиляцию обеспечивают двухслойные сетчатые вставки. Трусы отлично стираются в стиральной машинке, быстро сохнут, прекрасно сохраняют форму при длительной эксплуатации. Модель идеально подойдет для тренировок на свежем воздухе.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 230 x 310 x 20 мм.Вес: ~ 0.11 кг.",0,588415-100,750,1490,,1,шт.,"https://www.sportdepo.ru/gallery/dp0008720b.jpeg https://www.sportdepo.ru/gallery/dp00087201.jpeg",,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT WB 588415-100 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT WB 588415-100 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-wb-588415-100-sr,Nike,XL,,
2129,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT WB 588415-100 SR",,"Мужские, игровые трусы белого цвета NIKE LASER II WOVEN SHORT NB 588415-100 SR имеют удобную, не сковывающую движений посадку. Модель прямого покроя с пришитой к верху эластичной резинкой и дополнительной фиксацией прочным шнурком, что позволяет надежно фиксировать их на спортсмене во время игры в футбол. На левой штанине вышит черными нитками логотип Nike.  Модель пошита из прочного, современного материала, состоящего из полиэстера. Материал отличается высокой прочностью и не деформируется при значительных, механических нагрузках, не мнется. Благодаря применению передовой технологии Nike Dri-FIT, которая придает материалу свойства регуляции влаги, обеспечивается комфортное состояние спортсмена во время тренировок и матчей. Дополнительную вентиляцию обеспечивают двухслойные сетчатые вставки. Трусы отлично стираются в стиральной машинке, быстро сохнут, прекрасно сохраняют форму при длительной эксплуатации. Модель идеально подойдет для тренировок на свежем воздухе.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 230 x 310 x 20 мм.Вес: ~ 0.11 кг.",0,588415-100,750,1490,,1,шт.,"https://www.sportdepo.ru/gallery/dp0008720b.jpeg https://www.sportdepo.ru/gallery/dp00087201.jpeg",,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT WB 588415-100 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT WB 588415-100 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-wb-588415-100-sr,Nike,XXL,,
2130,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT WB 588415-101 SR",,"Удобные, игровые трусы для тренировок или спортивных занятий, мужская, взрослая модель NIKE LASER II WOVEN SHORT WB 588415-101 SR имеет яркую белую расцветку, придает спортсмену стильный образ на футбольном поле. На левой штанине имеется стильный, голубой логотип производителя, выполненный в виде галочки. Трусы надежно удерживаются при помощи эластичной, качественной резинки, не сползают во время игры в футбол. Модель имеет классический, свободный покрой с прямыми штанинами, что обеспечивает спортсмену высокую степень комфорта. При производстве используется высококачественный полиэстер, состоящий из прочных, полиэфирных волокон, что придает ткани износостойкость и прочность. Полиэстер обладает эластичными качествами, хорошо держит форму и имеет небольшой вес. Ткань приятная для кожи, не раздражает ее во время интенсивных тренировок. Хорошие вентиляционные качества материала обеспечивают кожу свежим воздухом, создавая комфортные прохладные условия. В структуру материала изделия вплетены специальные волокна Dri-FIT, которые абсорбируют пот, выделяемый телом, и отводят его на внешний слой, где обеспечивается его испарение, что создает комфортные и сухие условия для спортсмена во время игры. Изделие сохраняет в процессе носки свой насыщенный цвет, не линяет и не выгорает на солнце, быстро высыхает и легко стирается. Трусы отлично подойдут для спортивных занятий, тренировок или игры в футбол, они будут удобны и для активного отдыха.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 150 x 270 x 20 мм.Вес: ~ 0.15 кг.",0,588415-101,750,1490,,1,шт.,"https://www.sportdepo.ru/gallery/dp0012152b.jpeg https://www.sportdepo.ru/gallery/dp00121521.jpeg",,,"ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT WB 588415-101 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE LASER II WOVEN SHORT WB 588415-101 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-laser-ii-woven-short-wb-588415-101-sr,Nike,XL,,
2131,"ФОРМА ИГРОКА",ТРУСЫ,"ТРУСЫ ИГРОВЫЕ NIKE DF KNIT SHORT II NB 520472-100 SR",,"Футбольные, игровые трусы, взрослая модель NIKE DF KNIT SHORT II NB 520472-100 SR выполнены в однотонной белой расцветке и украшены черными элементами. В этих трусах, футболист чувствует себе удобно и комфортно во время игры на футбольном поле. Модель прочно удерживается на бедрах благодаря применению широкого эластичного пояса на кулиске и вшитой внутрь мягкой эластичной резинке, что позволяет отрегулировать посадку на теле. Шорты декорированы небольшим стильным логотипом Nike, черного цвета, который расположен в нижней части левой штанины. Сзади модель декорирована широкими черными полосами, которые придают шортам спортивный вид. Шорты имеют вентиляционные вставки, которые расположены сзади в районе поясницы, они обеспечивают хороший воздухообмен и вентиляцию тела. Трусы пошиты из современного синтетического материала, состоящего из полиэстера. Этот материал обладает прочностью и износостойкостью, что придает изделию длительный срок эксплуатации. Ткань выдерживает значительные механические нагрузки, не вытягивается и не деформируется. Шорты имеют современный аккуратный вид, не выгорают под действием солнечных лучей и не линяют после стирки. Применение технологии  Dri-FIT, позволяет ногам оставаться сухими даже при интенсивных тренировках. В структуру ткани вплетаются специальные волокна, которые отводят влагу выделяемую телом спортсмена, на наружный слой для последующего испарения. Эта модель отлично подойдет как профессиональным футболистам, так и любителям, в них хорошо заниматься спортом на открытых площадках в теплое время года, или в крытых спортивных сооружениях.Размеры и Вес в упаковке:
Размеры (Д х Ш х В): ~ 223 x 283 x 30 мм.Вес: ~ 0.128 кг.",0,520472-100,590,1190,,1,шт.,"https://www.sportdepo.ru/gallery/dp0005921b.jpeg https://www.sportdepo.ru/gallery/dp00059211.jpeg",,,"ТРУСЫ ИГРОВЫЕ NIKE DF KNIT SHORT II NB 520472-100 SR","спортивные товары, коньки, бутсы, боксёрские перчатки, хоккейные шлема, кроссовки, краги, хоккейный нагрудник, лыжи, обувь для зала, хоккейные перчатки, вратарская форма, боксёрские шлема, шиповки, футбольная экипировка, хоккейная экипировка, футбольная фо","ТРУСЫ ИГРОВЫЕ NIKE DF KNIT SHORT II NB 520472-100 SR купить в магазине СпортДепо по выгодной цене. Доставка по России.",trusy-igrovye-nike-df-knit-short-ii-nb-520472-100-sr,Nike,S,,
