ewrewer;;;;;;;;;;;;;;;;;;;;;;;;
26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
;;;;;;;;;;;;;;;;;;;;;;;;
8,5;9;10;11;11,5;12;1;1,5;2;2,5;3,5;4;5;5,5;6,5;7;8;9;10;10,5;11,5;12;13;14;14,5
8,5;9,5;10,5;11,5;12;12,5;1;2;2,5;3;4;4,5;5,5;6;7;8;8,5;9,5;10,5;11;12;12,5;13,5;14,5;15
;;;;;;;;;22,7;23,5;24,2;24,8;25,5;26,2;26,9;27,5;28,2;28,9;29,6;30,3;30,9;31,6;32,3;32,9
;;;;;;;;;;;;;;;;;;;;;;;;
18;18,5;19;19,5;20;21;22;22,5;23;23,5;24;24,5;25,5;26;26,5;27,5;28;28,5;29,5;30;30,5;31,5;32;33;33,5
