шапка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;29;30;31;32;33;34;35;35,5;36;36,7;37,3;38;38,7;39,3;40;40,7;41,3;42;42,7;43,3;44;44,7;45,3;46;46,7;47,3;48;48,7;49,3
28;29;30;31;32;33;34;35;35,5;36;36,5;37;37,5;38;38,5;39;40;40,5;41;41,5;42;43;43,5;44;44,5;45;46;46,5;47;47,5
28;29;30;31;32;33;34;35;3;3,5;4;4,5;5;5,5;6;6,5;7;7,5;8;8,5;9;9,5;10;10,5;11;11,5;12;12,5;13;13,5
12c;12,5c;13c;13,5c;1;1,5;2,5;3;3,5;4;4,5;5;5,5;6;6,5;7;7,5;8;8,5;9;9,5;10;10,5;11;11,5;12;12,5;13;13,5;14
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;175;180;190;195;200;210;215;220;225;230;235;240;245;245;250;255;260;265;270;275;280;285;290;295;300;305;310;315;320
