шапка;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;28,5;30;31,5;32,5;33;33,5;34,5;35;35,5;36;37;37,5;38;39;39,5;40;40,5;41,5;42;42,5;43,5;44;44,5;45;46;46,5;47;48
25,5;27;28,5;30;31;31,5;32;33;33,5;34;34,5;35,5;36;36,5;37,5;38;38,5;39;40;40,5;41;42;42,5;43;43,5;44,5;45;45,5;46,5
;;;;;;;;;;3;3,5;4;4,5;5;5,5;6;6,5;7;7,5;8;8,5;9;9,5;10;10,5;11;11,5;12
K10;K11;K12;K13;1;1,5;2;2,5;3;3,5;4;4,5;5;5,5;6;6,5;7;7,5;8;8,5;9;9,5;10;10,5;11;11,5;12;12,5;13
17;17,5;18,5;19,5;20;20,5;21;21,5;22;22,2;22,5;23;23,5;24;24,5;25;25,2;25,5;26;26,5;27;27,5;28;28,2;28,5;29;29,5;30;30,5
